Product Name,Category,Sub-category,Company,Retail Price,Consumer Price,Bulk Price,Bulk Limit,imageUrl,imageUrl
Pajero Matches Rs.7 (50Pcs),Flammables,Flammables,Flammables,350,210,200,,https://admin.dealcart.io/products/medium-1753876473688-Nonstick%20Air%20Fryer%20Paper%20Disposable%20Plate%20Square%20%2850pcs%29-1..webp,https://admin.dealcart.io/products/medium-1753876473688-Nonstick%20Air%20Fryer%20Paper%20Disposable%20Plate%20Square%20%2850pcs%29-1..webp
BOMBAY Rs.5 (48PCS),Sweet Supari,Supari,Supari,240,190,185,3,https://admin.dealcart.io/products/medium-1758090966340-Untitled%20design%20%2812%29_11zon..webp,https://admin.dealcart.io/products/medium-1758090966340-Untitled%20design%20%2812%29_11zon..webp
TARA Rs.5 (48PCS),Sweet Supari,Supari,Supari,240,200,195,3,,
7UP Rs.5 (48PCS),Sweet Supari,Supari,Supari,240,200,195,3,https://admin.dealcart.io/products/medium-1758019965147-7up%20Silver%20Rs.5%20%281x48%29_11zon..webp,https://admin.dealcart.io/products/medium-1758019965147-7up%20Silver%20Rs.5%20%281x48%29_11zon..webp
5000 Gold Rs.5 (48PCS),Sweet Supari,Supari,Supari,240,190,185,3,https://admin.dealcart.io/products/medium-1755265944967-lg_ec7CefQc3kkr9eaWwhKr8cEdZzsN6QUQRYp4FK1z%5B1%5D..webp,https://admin.dealcart.io/products/medium-1755265944967-lg_ec7CefQc3kkr9eaWwhKr8cEdZzsN6QUQRYp4FK1z%5B1%5D..webp
18 PLUS Rs.5 (48PCS),Sweet Supari,Supari,Supari,240,190,185,3,https://admin.dealcart.io/products/medium-1755243628397-lg_89gS8tzXRAjbLAjY5pDQK3OUaiBRRKD6ra7jNoAN%5B1%5D..webp,https://admin.dealcart.io/products/medium-1755243628397-lg_89gS8tzXRAjbLAjY5pDQK3OUaiBRRKD6ra7jNoAN%5B1%5D..webp
SINDH G Rs.5 (48PCS),Sweet Supari,Supari,Supari,240,190,185,3,https://admin.dealcart.io/products/medium-1756888531762-Chefs%20Pride%20Sindhi%20Biryani%20Rs.%20140..webp,https://admin.dealcart.io/products/medium-1756888531762-Chefs%20Pride%20Sindhi%20Biryani%20Rs.%20140..webp
BLACK GOLD Rs.5 (48PCS),Sweet Supari,Supari,Supari,240,200,190,3,https://admin.dealcart.io/products/medium-1721054634435-True%20Worth%20Elegant%20Rosegold%20Qaurtz%20Watch..webp,https://admin.dealcart.io/products/medium-1721054634435-True%20Worth%20Elegant%20Rosegold%20Qaurtz%20Watch..webp
SUNNY Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,200,3,https://admin.dealcart.io/products/medium-1742976975408-Popitos%20Paprika%20Burst%20Rs.%2060..webp,https://admin.dealcart.io/products/medium-1742976975408-Popitos%20Paprika%20Burst%20Rs.%2060..webp
SUNNY Rs.10 (24Pcs),Sweet Supari,Supari,Supari,240,200,200,3,https://admin.dealcart.io/products/medium-1742976975408-Popitos%20Paprika%20Burst%20Rs.%2060..webp,https://admin.dealcart.io/products/medium-1742976975408-Popitos%20Paprika%20Burst%20Rs.%2060..webp
METRO Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,190,3,https://admin.dealcart.io/products/medium-1719921516397-Metro%20Heater%20%26%20Refill%2090%20Nights..webp,https://admin.dealcart.io/products/medium-1719921516397-Metro%20Heater%20%26%20Refill%2090%20Nights..webp
ANDALIB Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,190,3,,
DILLAGI Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,190,3,https://admin.dealcart.io/products/medium-1756282478890-Freezer%20Multi-use%20Packing%20Zip%20Bag-%20Mini%20Main..webp,https://admin.dealcart.io/products/medium-1756282478890-Freezer%20Multi-use%20Packing%20Zip%20Bag-%20Mini%20Main..webp
SANAM Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,200,3,,
SONAM Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,220,210,3,,
NAGINA Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,190,3,,
MOTI DANA Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,190,185,3,https://admin.dealcart.io/products/medium-1720429808860-Hari%20Mirch%20%28Moti%29%20250%20gm..webp,https://admin.dealcart.io/products/medium-1720429808860-Hari%20Mirch%20%28Moti%29%20250%20gm..webp
TASTY GOLD Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,190,3,https://admin.dealcart.io/products/medium-1724161290511-1Pc%20BBQ%20Baking%20Olive%20Oil%20Spray%20Bottle...webp,https://admin.dealcart.io/products/medium-1724161290511-1Pc%20BBQ%20Baking%20Olive%20Oil%20Spray%20Bottle...webp
JASHAN Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,190,3,,
RATNA Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,190,185,3,,
DEEPAK Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,190,185,3,,
TULSI Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,195,3,https://admin.dealcart.io/products/medium-1729239694472-Tulsi%20Zero%20Rs5%20%281x24%29_11zon..webp,https://admin.dealcart.io/products/medium-1729239694472-Tulsi%20Zero%20Rs5%20%281x24%29_11zon..webp
A ONE Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,190,185,3,https://admin.dealcart.io/68_store_Tue%20Dec%2002%202025%2010%3A37%3A01%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29,https://admin.dealcart.io/68_store_Tue%20Dec%2002%202025%2010%3A37%3A01%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29
GFT Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,190,3,,
SOHNI Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,190,185,3,https://admin.dealcart.io/products/medium-1762515075886-Untitled..webp,https://admin.dealcart.io/products/medium-1762515075886-Untitled..webp
RASILY Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,220,210,3,https://admin.dealcart.io/17_store_Tue%20Dec%2002%202025%2006%3A21%3A46%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29,https://admin.dealcart.io/17_store_Tue%20Dec%2002%202025%2006%3A21%3A46%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29
RUBI Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,190,185,3,https://admin.dealcart.io/13_store_Wed%20May%2014%202025%2019%3A52%3A30%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29,https://admin.dealcart.io/13_store_Wed%20May%2014%202025%2019%3A52%3A30%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29
TIKTOK Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,185,3,,
LAPARI Rs.5 (48Pcs),Sweet Supari,Supari,Supari,240,200,185,3,,
BLUE RIBBON Rs.5 (48Pcs),Sweet Supari,Mouth Freshner,Supari,240,200,195,3,https://admin.dealcart.io/products/medium-1694593100020-Category%20Tile%20Grid-1%20%2834%29..webp,https://admin.dealcart.io/products/medium-1694593100020-Category%20Tile%20Grid-1%20%2834%29..webp
HUMTUM Rs.5 (48Pcs),Sweet Supari,Mouth Freshner,Supari,240,200,195,3,https://admin.dealcart.io/products/medium-1758019945111-Hum%20Tum%20Chocolate%20Pan%20Masala%20Rs.5%20%281x48%29_11zon..webp,https://admin.dealcart.io/products/medium-1758019945111-Hum%20Tum%20Chocolate%20Pan%20Masala%20Rs.5%20%281x48%29_11zon..webp
GOGO Rs.5 (48Pcs),Sweet Supari,Mouth Freshner,Supari,240,200,195,3,,
NAZ Rs.5 (48Pcs),Sweet Supari,Mouth Freshner,Supari,240,200,195,3,https://admin.dealcart.io/products/medium-1758019906305-Naz%20Pan%20Masala%20Rs.5%20%281x48%29_11zon..webp,https://admin.dealcart.io/products/medium-1758019906305-Naz%20Pan%20Masala%20Rs.5%20%281x48%29_11zon..webp
MEVA Rs.5 (48Pcs),Sweet Supari,Mouth Freshner,Supari,240,200,195,3,,
AASPASS Rs.5 (48Pcs),Sweet Supari,Mouth Freshner,Supari,240,200,195,3,,
